date,place,title,visitor_name,type,organisation,gender,race,party,nationality,note
2017-06-06,White House,Florida Senator,Marco Rubio,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-06-06,White House,Arkansas Senator,Tom Cotton,U.S. politician,,White,White,Republican,,
2017-06-06,White House,Indiana Senator,Todd Young,U.S. politician,,White,White,Republican,,
2017-06-06,White House,Colorado Senator,Cory Gardner,U.S. politician,,White,White,Republican,,
2017-06-06,White House,Florida Representative,Francis Rooney,U.S. politician,,White,White,Republican,,
2017-06-06,White House,New York Representative,Lee Zeldin,U.S. politician,,White,White,Republican,,
2017-06-06,White House,"Louisiana Representative, House Majority Whip",Steve Scalise,U.S. politician,,White,White,Republican,,
2017-06-06,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-06-06,White House,Texas Republican,John Cornyn,U.S. politician,,White,White,Republican,,
2017-06-07,"Cincinnati, Ohio",Co-owner of PlayCare LLC,Raya Whalen,,,White,White,,,Obamacare Victim
2017-06-07,"Cincinnati, Ohio",President of CSS Distribution Group Inc.,Dan Withrow,,,White,White,,,Obamacare Victim
2017-06-07,By phone,Emir of Qatar,Tamim bin Hamad Al Thani,Foreign leader,,White,White,,Qatar,
2017-06-08,White House,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-06-08,White House,Secretary of Commerce,Wilbur Ross,Cabinet member,,White,White,,,
2017-06-08,White House,Secretary of the Interior,Ryan Zinke,Cabinet member,,White,White,,,
2017-06-08,White House,Governor of Alabama,Kay Ivey,U.S. politician,,White,White,Republican,,
2017-06-08,White House,Governor of Arizona,Doug Ducey,U.S. politician,,White,White,Republican,,
2017-06-08,White House,Governor of Florida,Rick Scott,U.S. politician,,White,White,Republican,,
2017-06-08,White House,Governor of Indiana,Eric Holcomb,U.S. politician,,White,White,Republican,,
2017-06-08,White House,Governor of Kansas,Sam Brownback,U.S. politician,,White,White,Republican,,
2017-06-08,White House,Governor of Mississippi,Phil Bryant,U.S. politician,,White,White,Republican,,
2017-06-08,White House,Governor of North Dakota,Doug Burgum,U.S. politician,,White,White,Republican,,
2017-06-08,White House,Governor of New Hampshire,Chris Sununu,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Jacksonville, Florida",Lenny Curry,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Aurora, Colorado",Steve Hogan,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Oklahoma City, Oklahoma",Mick Cornett,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Fayetteville, North Carolina",Nat Robertson,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Thomasville, Alabama",Sheldon Day,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Fontana, California",Acquanetta Warren,U.S. politician,,Black,Black,Republican,,
2017-06-08,White House,"Mayor of Albuquerque, New Mexico",Richard Berry,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Findlay, Ohio",Lydia Mihalik,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Columbus, Ohio",Andrew Ginther,U.S. politician,,White,White,Democrat,,
2017-06-08,White House,"Bucks County, Pennsylvania, Commissioner",Rob Loughery,U.S. politician,,White,White,Republican,,
2017-06-08,White House,President,Bryan Desloge,,National Association of Counties,White,White,,,"Leon County, Florida, Commissioner"
2017-06-08,White House,"Waukesha County, Wisconsin, Executive",Paul Farrow,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Macomb County, Michigan, Public Works Commissioner",Candice Miller,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Jefferson County, Colorado, Commissioner",Libby Szabo,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"DeKalb, County, Georgia, Commissioner",Nancy Jester,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Vice-Chairman of the Mandan, Hidatsa and Arikara Nation Tribes",Randy Phelan,U.S. politician,,American Indian,American Indian,,,
2017-06-08,White House,Southern Ute Tribe Councilman,Kevin Frost,U.S. politician,,American Indian,American Indian,,,
2017-06-08,White House,Louisiana Commissioner of Agriculture,Mike Strain,U.S. politician,,White,White,Republican,,
2017-06-08,White House,South Carolina Commissioner of Agriculture,Hugh Weathers,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Springfield, Massachusetts, Director of Public Works",Christopher M Cignoli,,,White,White,,,
2017-06-08,White House,Secretary of Agriculture,Sonny Perdue,Cabinet member,,White,White,,,
2017-06-08,White House,Speaker of the Wisconsin Assembly,Robin Vos,U.S. politician,,White,White,Republican,,
2017-06-08,White House,"Mayor of Colorado Springs, Colorado",John Suthers,U.S. politician,,White,White,Republican,,
2017-06-08,White House,,Rebekah Mercer,,,White,White,,,Republican Donor
2017-06-08,White House,Board of Directors Member,Todd Ricketts,,Chicago Cubs,White,White,,,Republican Donor
2017-06-08,White House,Founder and CEO,Ken Griffin,Executive,Citadel,White,White,,,
2017-06-08,White House,President,Doug DeVos,Executive,Amway,White,White,,,Republican Donor
2017-06-08,White House,Partner and Managing Director,Tommy Hicks Jr.,Executive,Hicks Equity Partners LLC,White,White,,,
2017-06-08,White House,President and CEO,Tom Saunders,Executive,"Ivor & Co., LLC",White,White,,,Republican Donor
2017-06-08,White House,Founder,Paul Singer,Executive,Elliott Management,White,White,,,Republican Donor
2017-06-08,White House,CEO,Dick Uihlein,Executive,Uline,White,White,,,Republican Donor
2017-06-09,White House,President of Romania,Klaus Iohannis,Foreign leader,,White,White,,,
2017-06-09,Transportation Department,Secretary of the Interior,Ryan Zinke,Cabinet member,,White,White,,,
2017-06-09,Transportation Department,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-06-09,By phone,President of Egypt,Abdel Fattah el-Sisi,Foreign leader,,White,White,,Egypt,
2017-06-09,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-06-09,By phone,Prime Minister of Britain,Theresa May,Foreign leader,,White,White,,United Kingdom,
2017-06-09,White House,Foreign Affairs Adviser to the President of Romania,Bogdan Aurescu,,,White,White,,,
2017-06-09,White House,Director of the Romanian Intelligence Service,Eduard Hellvig,,,White,White,,,
2017-06-09,White House,Romanian Protocol Presidential Adviser,Delia Dinu,,,White,White,,,
2017-06-09,White House,Romanian Public Policy and Civil Society Presidential Adviser,Andrei Muraru,,,White,White,,,
2017-06-09,White House,Romanian Communication and Press Presidential Adviser,Daniela Barsan,,,White,White,,,
2017-06-09,White House,Romanian Foreign Policy Expert,Adriana Romascan,,,White,White,,,
2017-06-09,White House,Romanian Ambassador to the U.S.,George Maior,,,White,White,,,
