name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Habil Khorakiwala,Khorakiwala,habil-khorakiwala,habil-khorakiwala,40.231,75,pharmaceuticals,Healthcare,M,India,1516704901086,1461.502,1626,1626
Sidney Kimmel,Kimmel,sidney-kimmel,sidney-kimmel,0,90,retail,Fashion & Retail,M,United States,1516704901086,1361.7,1717,1717
Alexander Klyachin,Klyachin,alexander-klyachin,no-pic,0,50,real estate,Real Estate,M,Russia,1516704901086,1299.8,1770,1770
William Koch,Koch,william-koch,william-koch,0,77,"oil, investments",Energy,M,United States,1516704901086,1755.473,1394,1394
Lee Myung-Hee,Lee,lee-myung-hee,lee-myung-hee,-26.807,74,retail,Fashion & Retail,F,South Korea,1516704901086,1950.493,1291,1291
Nicola Leibinger-Kammueller,Leibinger-Kammueller,nicola-leibinger-kammueller,nicola-leibinger-kammueller,0,58,manufacturing,Manufacturing,F,Germany,1516704901086,2041.223,1244,1244
James Leininger,Leininger,james-leininger,james-leininger,0,72,medical products,Healthcare,M,United States,1516704901086,1426.15,1658,1658
Li San Yim,Li,li-san-yim,li-san-yim,18.288,68,manufacturing,Manufacturing,M,China,1516704901086,1859.799,1345,1345
Li Weiwei,Li,li-weiwei,no-pic,-11.765,41,online games,Technology,M,China,1516704901086,1367.289,1712,1712
Liang Guangwei,Liang,liang-guangwei,no-pic,8.035,54,conglomerate,Manufacturing,M,China,1516704901086,1276.83,1794,1794
Liang Yunchao,Liang,liang-yunchao,liang-yunchao,73.78,49,nutrition supplements,Food and Beverage,M,China,1516704901086,2063.11,1228,1228
Liu Baolin,Liu,liu-baolin,liu-baolin,4.768,64,pharmacies,Fashion & Retail,M,China,1516704901086,1437.275,1645,1645
Liu Fuhai,Liu,liu-fuhai,no-pic,,63,"textiles, energy",Diversified,M,China,1506115926317,,,
Liu Ruopeng,Liu,liu-ruopeng,no-pic,,35,technology,Technology,M,China,1506115931785,,,
Jose Llado Fernandez-Urrutia,Llado Fernandez-Urrutia,jose-llado-fernandez-urrutia,jose-llado-fernandez-urrutia,18.691,83,construction,Construction & Engineering,M,Spain,1516704901086,1243.859,1825,1825
Pier Luigi Loro Piana,Loro Piana,pier-luigi-loro-piana,pier-luigi-loro-piana,0,66,fashion,Fashion & Retail,M,Italy,1516704901086,1561.422,1538,1538
Lu Di,Lu,lu-di,no-pic,0,,drones,Technology,M,China,1516704901086,1280,1790,1790
Ma Xingtian,Ma,ma-xingtian,ma-xingtian,12.913,48,pharmaceuticals,Healthcare,M,China,1516704901086,2104.212,1199,1199
Ma Xiuhui,Ma,ma-xiuhui,ma-xiuhui,-37.867,47,LED lighting,Manufacturing,F,China,1516704901086,1757.457,1393,1393
Maggie Magerko,Magerko,maggie-magerko,maggie-magerko,,52,building materials,Service,F,United States,1506115914229,,,
Anand Mahindra,Mahindra,anand-mahindra,anand-mahindra,15.849,62,automobiles,Automotive,M,India,1516704901086,1744.439,1403,1403
Vincent McMahon,McMahon,vincent-mcmahon,vincent-mcmahon,-13.502,72,wrestling,Sports,M,United States,1516704901086,1623.29,1489,1489
Boris Mints,Mints,boris-mints,boris-mints,,59,real estate,Real Estate,M,Russia,1506115926232,,,
Andrei Molchanov,Molchanov,andrei-molchanov,andrei-molchanov,31.65,46,construction materials,Construction & Engineering,M,Russia,1516704901086,1158.329,1905,1905
Gian Marco Moratti,Moratti,gian-marco-moratti,gian-marco-moratti,10.826,81,oil refinery,Energy,M,Italy,1516704901086,1551.648,1546,1546
Thomas Prinzhorn,Prinzhorn,thomas-prinzhorn,no-pic,0,74,paper and packaging,Manufacturing,M,Austria,1516704901086,1466.993,1624,1624
Nevaldo Rocha,Rocha,nevaldo-rocha,nevaldo-rocha,-23.242,88,retail,Fashion & Retail,M,Brazil,1516704901086,2532.558,986,986
Fernando Roig,Roig,fernando-roig,fernando-roig,0,70,supermarkets,Fashion & Retail,M,Spain,1516704901086,1402.251,1679,1679
Alexander Rovt,Rovt,alexander-rovt,alexander-rovt,0,65,"fertilizer, real estate",Manufacturing,M,United States,1516704901086,1291.6,1777,1777
Lily Safra,Safra,lily-safra,lily-safra,0,80,banking,Finance and Investments,F,Monaco,1516704901086,1265.77,1800,1800
Thomas Sandell,Sandell,thomas-sandell,thomas-sandell,0,56,hedge funds,Finance and Investments,M,Sweden,1516704901086,1336.5,1737,1737
Yoshiyuki Sankai,Sankai,yoshiyuki-sankai,yoshiyuki-sankai,51.814,59,robotics,Technology,M,Japan,1516704901086,1507.183,1591,1591
Antonio Luiz Seabra,Seabra,antonio-luiz-seabra,antonio-luiz-seabra,18.014,75,cosmetics,Fashion & Retail,M,Brazil,1516704901086,1596.926,1514,1514
Kirill Shamalov,Shamalov,kirill-shamalov,kirill-shamalov,0,35,petrochemicals,Energy,M,Russia,1516704901086,1252.69,1813,1813
Vijay Shekhar Sharma,Sharma,vijay-shekhar-sharma,no-pic,0,39,financial technology,Service,M,India,1516704901086,1471.844,1617,1617
Bryan Sheffield,Sheffield,bryan-sheffield,no-pic,-1.368,39,oil & gas,Energy,M,United States,1516704901086,1118.98,1939,1939
Shin Dong-Joo,Shin,shin-dong-joo,shin-dong-joo,3.523,63,retail,Fashion & Retail,M,South Korea,1516704901086,1231.064,1836,1836
Evgeny (Eugene) Shvidler,Shvidler,evgeny-eugene-shvidler,evgeny-eugene-shvidler,-4.519,53,"oil & gas, investments",Energy,M,United States,1516704901086,1467.048,1622,1622
Jasminder Singh,Singh,jasminder-singh,jasminder-singh,0,67,hotels,Real Estate,M,United Kingdom,1516704901086,1408.197,1675,1675
William Stone,Stone,william-stone,william-stone,-0.332,62,software,Technology,M,United States,1516704901086,1834.903,1358,1358
Julia Stoschek,Stoschek,julia-stoschek,no-pic-female,0,,auto parts,Automotive,F,Germany,1516704901086,2009.309,1260,1260
Maximilian Stoschek,Stoschek,maximilian-stoschek,no-pic,0,,auto parts,Automotive,M,Germany,1516704901086,2009.309,1260,1261
Sun Shangchuan,Sun,sun-shangchuan,no-pic,0,54,electronics components,Technology,M,China,1516704901086,1021.152,2006,2006
Djoko Susanto,Susanto,djoko-susanto,djoko-susanto,-15.567,67,supermarkets,Fashion & Retail,M,Indonesia,1516704901086,1375.226,1700,1700
Satoshi Suzuki,Suzuki,satoshi-suzuki,satoshi-suzuki,82.592,63,cosmetics,Fashion & Retail,M,Japan,1516704901086,2115.618,1190,1190
Kenneth Tuchman,Tuchman,kenneth-tuchman,no-pic,-6.293,58,outsourcing,Service,M,United States,1516704901086,1716.265,1423,1423
